behavior,n_steps,total_distance_km,total_cost,mean_edge_distance_km,sum_w_cost,sum_c_cost,sum_d_cost,sum_f_cost,a_wind,b_crosswind,c_distance,d_food,status
behavior_098,155,18615.8596091737,4798.638756913681,120.10232005918517,5910.310210466695,4087.7919520262653,7749.815451957173,2157.4842180920073,0.2,0.4,0.2,0.2,ok
behavior_133,155,18805.45820035902,4801.43428796953,121.3255367765098,5731.24762645043,4077.6564351531256,7749.815451957173,2682.502372621187,0.3,0.5,0.1,0.1,ok
behavior_028,134,16419.150980095896,4804.452631335644,122.53097746340221,7817.681721711245,3904.1436322623335,6699.840455240395,2814.294981672741,0.0,0.4,0.4,0.2,ok
behavior_212,180,21806.97204847868,4845.976902716219,121.14984471377045,4610.895869796927,5786.301034393381,8999.785686143812,5057.5889248887925,0.8,0.2,0.0,0.0,ok
behavior_204,173,21060.174719756134,4852.3016856931845,121.73511398702968,4675.711253237662,5635.308843368412,8649.794020571553,4522.4203975313785,0.7,0.2,0.0,0.1,ok
behavior_106,155,18646.201242061383,4856.271655994209,120.29807252942828,5735.954372524869,4637.718795923611,7749.815451957173,2026.3517716239808,0.3,0.0,0.3,0.4,ok
behavior_194,154,18732.018483357628,4864.6580926712095,121.63648365816641,5328.0213819416085,4556.251560008267,7699.816642589707,3009.697955037648,0.6,0.3,0.0,0.1,ok
behavior_015,125,15366.860654111633,4872.021225039534,122.93488523289307,7032.1992549142515,4307.570804176622,6249.851170933205,2951.9382624586838,0.0,0.2,0.5,0.3,ok
behavior_181,154,18718.801487145232,4881.809916931252,121.55065900743658,5638.392800045043,4125.227033817467,7699.816642589707,2845.986177660722,0.5,0.5,0.0,0.0,ok
behavior_064,125,15366.9837975583,4890.332939988212,122.9358703804664,7027.46278983932,4294.575624067075,6249.851170933205,2974.0053004874217,0.1,0.4,0.3,0.2,ok
behavior_143,156,18781.193446861264,4904.755731213845,120.3922656850081,5399.841899104919,4981.733200998274,7799.814261324638,2288.942664023721,0.4,0.1,0.2,0.3,ok
behavior_035,134,16419.150980095896,4913.437496394604,122.53097746340221,7817.681721711245,3904.1436322623335,6699.840455240395,2814.294981672741,0.0,0.5,0.4,0.1,ok
behavior_002,126,15455.592600324639,4920.021593141003,122.66343333590983,6993.753406562219,4384.585490097056,6299.849980300671,2850.2790124015146,0.0,0.0,0.6,0.4,ok
behavior_173,156,18807.05502468702,4926.226169468492,120.558045030045,5478.317898498669,4642.227028476719,7799.814261324638,2393.201941956743,0.5,0.2,0.1,0.2,ok
behavior_163,156,18771.825231029266,4934.71272552819,120.33221301941838,5357.814897744558,5213.327651293237,7799.814261324638,2319.4747479699304,0.5,0.0,0.2,0.3,ok
behavior_206,174,21156.087568749623,4948.383446116484,121.58671016522771,4697.343070543499,5534.144322453434,8699.792829939019,4835.8577651803125,0.7,0.3,0.0,0.0,ok
