route_name,point_index,lon,lat
start_83eea8fffffffff_end_83074dfffffffff,160,-19.62648707271196,21.449600056147013
start_83eea8fffffffff_end_83074dfffffffff,161,-19.43092364145289,22.56028478081197
start_83eea8fffffffff_end_83074dfffffffff,162,-19.23064243498796,23.67927319085283
start_83eea8fffffffff_end_83074dfffffffff,163,-18.05290633355321,24.09509174789176
start_83eea8fffffffff_end_83074dfffffffff,164,-16.869513842601325,24.50117766090964
start_83eea8fffffffff_end_83074dfffffffff,165,-16.6346327769512,25.62464408096617
start_83eea8fffffffff_end_83074dfffffffff,166,-15.431817909960357,26.017917882750723
start_83eea8fffffffff_end_83074dfffffffff,167,-15.176127392979144,27.14384178702533
start_83eea8fffffffff_end_83074dfffffffff,168,-14.914155227330566,28.273892033787337
start_83eea8fffffffff_end_83074dfffffffff,169,-14.645678416970886,29.40713649958132
start_83eea8fffffffff_end_83074dfffffffff,170,-13.393578154775987,29.77585451480121
start_83eea8fffffffff_end_83074dfffffffff,171,-12.13958973517314,30.130691871825736
start_83eea8fffffffff_end_83074dfffffffff,172,-10.884911790470458,30.47134900006024
start_83eea8fffffffff_end_83074dfffffffff,173,-10.56274178117726,31.5882964347288
start_83eea8fffffffff_end_83074dfffffffff,174,-10.23262116102291,32.70486616273772
start_83eea8fffffffff_end_83074dfffffffff,175,-9.89427469335744,33.82009935913328
start_83eea8fffffffff_end_83074dfffffffff,176,-9.547415549598757,34.933038073676634
start_83eea8fffffffff_end_83074dfffffffff,177,-10.526404255750554,35.741671390994874
start_83eea8fffffffff_end_83074dfffffffff,178,-10.178551028395864,36.85664290290392
start_83eea8fffffffff_end_83074dfffffffff,179,-9.821575117347257,37.96697873596429
start_83eea8fffffffff_end_83074dfffffffff,180,-10.843909092505662,38.78139102032896
start_83eea8fffffffff_end_83074dfffffffff,181,-11.894448391463149,39.59026101130041
start_83eea8fffffffff_end_83074dfffffffff,182,-11.54615587310791,40.70215727504176
start_83eea8fffffffff_end_83074dfffffffff,183,-11.188107596053898,41.80671034181319
start_83eea8fffffffff_end_83074dfffffffff,184,-12.288216961075332,42.61378545350458
start_83eea8fffffffff_end_83074dfffffffff,185,-11.930594783563036,43.71199251393616
start_83eea8fffffffff_end_83074dfffffffff,186,-11.562485517428655,44.80075014176085
start_83eea8fffffffff_end_83074dfffffffff,187,-11.18345277534071,45.87926923339065
start_83eea8fffffffff_end_83074dfffffffff,188,-10.793037711814629,46.94679878445505
start_83eea8fffffffff_end_83074dfffffffff,189,-11.971157423890658,47.74760262609662
start_83eea8fffffffff_end_83074dfffffffff,190,-11.58084140466138,48.80329385451692
start_83eea8fffffffff_end_83074dfffffffff,191,-12.808268199385829,49.590711925498816
start_83eea8fffffffff_end_83074dfffffffff,192,-14.073643296392776,50.36354775066822
start_83eea8fffffffff_end_83074dfffffffff,193,-15.377461774875238,51.120473730486566
start_83eea8fffffffff_end_83074dfffffffff,194,-16.72009000089207,51.86017592314559
start_83eea8fffffffff_end_83074dfffffffff,195,-16.379790945434262,52.89644800230814
start_83eea8fffffffff_end_83074dfffffffff,196,-16.027483024755394,53.91852160397113
start_83eea8fffffffff_end_83074dfffffffff,197,-17.448508597507285,54.63364184906208
start_83eea8fffffffff_end_83074dfffffffff,198,-18.912039040117243,55.32797393924225
start_83eea8fffffffff_end_83074dfffffffff,199,-18.589613475514494,56.3283985615446
start_83eea8fffffffff_end_83074dfffffffff,200,-20.119694655361112,56.99649910097296
start_83eea8fffffffff_end_83074dfffffffff,201,-21.693874747150986,57.64089602121217
start_83eea8fffffffff_end_83074dfffffffff,202,-21.410737917968017,58.61702054108151
start_83eea8fffffffff_end_83074dfffffffff,203,-21.11607665827365,59.57747233738721
start_83eea8fffffffff_end_83074dfffffffff,204,-22.79265766516335,60.18658722995151
start_83eea8fffffffff_end_83074dfffffffff,205,-22.30180196129701,61.189819028366266
start_83eea8fffffffff_end_83074dfffffffff,206,-20.33318252261832,61.49214071659679
start_83eea8fffffffff_end_830768fffffffff,0,-19.66157766610559,-71.63499815961013
start_83eea8fffffffff_end_830768fffffffff,1,-16.670037931779238,-70.96624741447346
start_83eea8fffffffff_end_830768fffffffff,2,-17.055639198271873,-69.80436620809523
start_83eea8fffffffff_end_830768fffffffff,3,-17.399698849124384,-68.64610209442408
