lat_band,benchmark_lat_median,benchmark_lon_median,route_lat_median,route_lon_median,n_points,behavior,lon_error_deg,lon_error_km,squared_lon_error_km
"(-30, -20]",-24.5127375,1.60011999570311,-24.984828069821933,11.814802858026042,10,behavior_062,10.214682862322931,1034.6107369296897,1070419.3769701954
"(-20, -10]",-14.62973805,-5.954104569439496,-14.652564197037751,7.544197328464962,10,behavior_062,13.498301897904458,1453.9129806578158,2113862.9553252943
"(-10, 0]",-3.46887202499999,-9.91567052953346,-6.979288376567183,-7.16000440072303,25,behavior_062,2.7556661288104296,306.19871190124485,93757.65116998155
"(0, 10]",5.03812620000001,-18.191934691485,3.533457234700141,-19.71741831421356,13,behavior_062,-1.5254836227285615,169.16074642421583,28615.35813079785
"(10, 20]",15.44703525,-19.2966096331278,14.889857017366243,-19.72878865935555,10,behavior_062,-0.4321790262277503,46.372289362234035,2150.389220694764
"(20, 30]",25.0356285,-20.1180129941091,24.80575462733373,-18.81524801316166,9,behavior_062,1.3027649809474404,131.3980596714961,17265.45008543405
"(30, 40]",35.95858155,-16.672725789169398,35.13217005329357,-16.927225107826082,9,behavior_062,-0.2544993186566842,22.932182447163036,525.8849917899724
"(40, 50]",47.10268035,-12.1608318325397,45.299232515991655,-14.24850657835196,9,behavior_062,-2.0876747458122615,158.1915334541827,25024.561256585803
"(50, 60]",53.785143,1.50594210230876,56.412734238637356,-6.617839027202022,20,behavior_062,-8.123781129510782,534.2971380415582,285473.43171939993
"(-80, -70]",-71.42044770000001,5.18813709980144,-70.62195055402822,5.349260264866236,1,behavior_063,0.16112316506479551,5.714860664407858,32.65963241359623
"(-70, -60]",-66.15,-0.249539061038283,-64.88984488815481,-1.5465070353583386,10,behavior_063,-1.2969679743200555,58.378511658551766,3408.0506234676645
"(-60, -50]",-56.700000225,5.89424048556142,-55.31530061131777,0.7750707447490864,11,behavior_063,-5.119169740812334,312.86942190577554,97887.27516365418
"(-50, -40]",-45.6231879,11.03997350737515,-45.525400517689945,8.127989318455269,11,behavior_063,-2.911984188919881,226.7105733988884,51397.684090852774
"(-40, -30]",-35.3528118,3.646997812277105,-35.45632398896109,14.952534767226458,11,behavior_063,11.305536954949353,1026.4648047819003,1053629.9954559447
"(-30, -20]",-24.5127375,1.60011999570311,-24.984828069821933,11.814802858026042,10,behavior_063,10.214682862322931,1034.6107369296897,1070419.3769701954
"(-20, -10]",-14.62973805,-5.954104569439496,-14.652564197037751,7.544197328464962,10,behavior_063,13.498301897904458,1453.9129806578158,2113862.9553252943
"(-10, 0]",-3.46887202499999,-9.91567052953346,-6.979288376567183,-7.16000440072303,25,behavior_063,2.7556661288104296,306.19871190124485,93757.65116998155
"(0, 10]",5.03812620000001,-18.191934691485,3.533457234700141,-19.71741831421356,13,behavior_063,-1.5254836227285615,169.16074642421583,28615.35813079785
"(10, 20]",15.44703525,-19.2966096331278,14.889857017366243,-19.72878865935555,10,behavior_063,-0.4321790262277503,46.372289362234035,2150.389220694764
"(20, 30]",25.0356285,-20.1180129941091,24.80575462733373,-18.81524801316166,9,behavior_063,1.3027649809474404,131.3980596714961,17265.45008543405
"(30, 40]",35.95858155,-16.672725789169398,35.13217005329357,-16.927225107826082,9,behavior_063,-0.2544993186566842,22.932182447163036,525.8849917899724
"(40, 50]",47.10268035,-12.1608318325397,45.299232515991655,-14.24850657835196,9,behavior_063,-2.0876747458122615,158.1915334541827,25024.561256585803
"(50, 60]",53.785143,1.50594210230876,56.412734238637356,-6.617839027202022,20,behavior_063,-8.123781129510782,534.2971380415582,285473.43171939993
"(-80, -70]",-71.42044770000001,5.18813709980144,-70.62195055402822,5.349260264866236,1,behavior_064,0.16112316506479551,5.714860664407858,32.65963241359623
"(-70, -60]",-66.15,-0.249539061038283,-64.88984488815481,-1.5465070353583386,10,behavior_064,-1.2969679743200555,58.378511658551766,3408.0506234676645
"(-60, -50]",-56.700000225,5.89424048556142,-55.08066101544612,-7.994319355931565,9,behavior_064,-13.888559841492985,848.8301636237884,720512.6466775874
"(-50, -40]",-45.6231879,11.03997350737515,-44.855496321416425,-10.493831676099912,10,behavior_064,-21.53380518347506,1676.499940893019,2810652.051814296
"(-40, -30]",-35.3528118,3.646997812277105,-34.88897535307018,-11.980319247532815,8,behavior_064,-15.62731705980992,1418.8526399924992,2013142.8140136846
"(-30, -20]",-24.5127375,1.60011999570311,-25.06543645252785,-13.749315006751306,9,behavior_064,-15.349435002454417,1554.6924435529947,2417068.5940407817
"(-20, -10]",-14.62973805,-5.954104569439496,-14.749954586353766,-15.320296675291655,10,behavior_064,-9.366192105852159,1008.8401033723569,1017758.3541723478
