lat_band,benchmark_lat_median,benchmark_lon_median,route_lat_median,route_lon_median,n_points,behavior,squared_lon_error
"(60, 70]",62.07117996,-18.12660637,61.29361517393866,-18.57857315102444,2,behavior_185,0.20427397114959278
"(-80, -70]",-71.25708173,-20.00285938,-71.0498319885632,-19.772798268546946,2,behavior_186,0.05292811500301452
"(-70, -60]",-65.61340604,-35.1199531,-64.68753737032831,-20.69147671310828,9,behavior_186,208.18093084709184
"(-60, -50]",-58.0693621,-31.43578883,-54.64329458844306,-14.897062999368028,13,behavior_186,273.5294521008132
"(-50, -40]",-43.7844094,0.441897953,-45.27226496545334,1.4105044198423253,12,behavior_186,0.9381984876087727
"(-40, -30]",-35.56805596,3.938167204,-35.48256147298714,9.689491503940062,10,behavior_186,33.077731203081036
"(-30, -20]",-24.892482045,3.1913109405,-24.929598001352613,6.414688935907934,10,behavior_186,10.390165701280072
"(-20, -10]",-14.861629965,-2.1931205695,-12.59484696936678,0.0773507172618936,17,behavior_186,5.155039864010209
"(-10, 0]",-4.2016837085,-11.19345858,-6.458667190094619,-17.428678723820184,18,behavior_186,38.877970241901
"(0, 10]",4.649206505,-23.063146705,4.78171680296466,-23.28499623601501,9,behavior_186,0.04921721441158005
"(10, 20]",14.48227294,-40.47469647,14.545747735782218,-30.26055514675356,16,behavior_186,104.32868297125049
"(20, 30]",24.69371562,-49.41198452,24.93569337197751,-35.67727625085749,8,behavior_186,188.6422112384516
"(30, 40]",35.72890237,-46.307643205,34.77995239379166,-35.68749783414649,9,behavior_186,112.78748769806117
"(40, 50]",45.949939150000006,-37.711282205,45.159984563818014,-30.05594864074122,13,behavior_186,58.60413198006707
"(50, 60]",52.560148515,-25.18428898,54.98904132433109,-20.70530392533055,11,behavior_186,20.061307119952303
"(60, 70]",62.07117996,-18.12660637,61.29361517393866,-18.57857315102444,2,behavior_186,0.20427397114959278
"(-80, -70]",-71.25708173,-20.00285938,-71.0498319885632,-19.772798268546946,2,behavior_187,0.05292811500301452
"(-70, -60]",-65.61340604,-35.1199531,-65.27425705485093,-23.02750485695077,9,behavior_187,146.22730451082433
"(-60, -50]",-58.0693621,-31.43578883,-54.94686993909407,-15.662445232847684,14,behavior_187,248.79836823382595
"(-50, -40]",-43.7844094,0.441897953,-43.9881057847841,3.019216903875793,15,behavior_187,6.6425729745435
"(-40, -30]",-35.56805596,3.938167204,-35.45632398896109,14.952534767226458,11,behavior_187,121.31629281785513
"(-30, -20]",-24.892482045,3.1913109405,-24.984828069821933,11.814802858026042,10,behavior_187,74.36461285163698
"(-20, -10]",-14.861629965,-2.1931205695,-14.652564197037751,7.544197328464962,10,behavior_187,94.81535984602878
"(-10, 0]",-4.2016837085,-11.19345858,-6.979288376567183,-7.16000440072303,25,behavior_187,16.268752616326857
"(0, 10]",4.649206505,-23.063146705,4.413503593494211,-16.311633984735664,11,behavior_187,45.58292401189115
"(10, 20]",14.48227294,-40.47469647,14.141544876140044,-17.275014160559007,11,behavior_187,538.2252592589892
"(20, 30]",24.69371562,-49.41198452,23.845403066629533,-23.065592513987227,12,behavior_187,694.1323717344936
"(30, 40]",35.72890237,-46.307643205,34.87035302281723,-24.50666190060104,9,behavior_187,475.282785834753
"(40, 50]",45.949939150000006,-37.711282205,45.28997343772488,-22.87958216334062,9,behavior_187,219.979326125759
"(50, 60]",52.560148515,-25.18428898,55.49466054755884,-20.561659213760876,10,behavior_187,21.368705955719992
"(60, 70]",62.07117996,-18.12660637,61.29361517393866,-18.57857315102444,2,behavior_187,0.20427397114959278
"(-80, -70]",-71.25708173,-20.00285938,-71.0498319885632,-19.772798268546946,2,behavior_188,0.05292811500301452
"(-70, -60]",-65.61340604,-35.1199531,-65.27425705485093,-23.02750485695077,9,behavior_188,146.22730451082433
"(-60, -50]",-58.0693621,-31.43578883,-55.04703568657949,-13.111796265504166,15,behavior_188,335.76870350369853
"(-50, -40]",-43.7844094,0.441897953,-45.050822950890456,3.507878096956534,11,behavior_188,9.400234243135731
"(-40, -30]",-35.56805596,3.938167204,-35.239463162466706,13.326311412558082,11,behavior_188,88.13725168068265
"(-30, -20]",-24.892482045,3.1913109405,-24.984828069821933,11.814802858026042,10,behavior_188,74.36461285163698
"(-20, -10]",-14.861629965,-2.1931205695,-14.652564197037751,7.544197328464962,10,behavior_188,94.81535984602878
"(-10, 0]",-4.2016837085,-11.19345858,-6.979288376567183,-7.16000440072303,25,behavior_188,16.268752616326857
"(0, 10]",4.649206505,-23.063146705,4.413503593494211,-16.311633984735664,11,behavior_188,45.58292401189115
"(10, 20]",14.48227294,-40.47469647,14.141544876140044,-17.275014160559007,11,behavior_188,538.2252592589892
"(20, 30]",24.69371562,-49.41198452,23.845403066629533,-23.065592513987227,12,behavior_188,694.1323717344936
"(30, 40]",35.72890237,-46.307643205,34.87035302281723,-24.50666190060104,9,behavior_188,475.282785834753
"(40, 50]",45.949939150000006,-37.711282205,45.28997343772488,-22.87958216334062,9,behavior_188,219.979326125759
"(50, 60]",52.560148515,-25.18428898,55.49466054755884,-20.561659213760876,10,behavior_188,21.368705955719992
"(60, 70]",62.07117996,-18.12660637,61.29361517393866,-18.57857315102444,2,behavior_188,0.20427397114959278
"(-80, -70]",-71.25708173,-20.00285938,-71.0498319885632,-19.772798268546946,2,behavior_189,0.05292811500301452
"(-70, -60]",-65.61340604,-35.1199531,-64.68753737032831,-20.69147671310828,9,behavior_189,208.18093084709184
"(-60, -50]",-58.0693621,-31.43578883,-54.72148103306775,-12.366127925490392,14,behavior_189,363.6519670129822
"(-50, -40]",-43.7844094,0.441897953,-45.050822950890456,3.507878096956534,11,behavior_189,9.400234243135731
"(-40, -30]",-35.56805596,3.938167204,-35.239463162466706,13.245081400630514,11,behavior_189,86.61865186344264
"(-30, -20]",-24.892482045,3.1913109405,-24.786900530126708,10.658332429377145,10,behavior_189,55.75640991535305
"(-20, -10]",-14.861629965,-2.1931205695,-13.03708100159824,1.6672427409498518,20,behavior_189,14.902404888667341
"(-10, 0]",-4.2016837085,-11.19345858,-7.216948295522931,-16.148376703615938,15,behavior_189,24.55121361173769
"(0, 10]",4.649206505,-23.063146705,5.032609342962526,-18.000221875057086,10,behavior_189,25.633207833652495
"(10, 20]",14.48227294,-40.47469647,14.655558162555813,-17.456304697803922,10,behavior_189,529.846359778304
"(20, 30]",24.69371562,-49.41198452,23.845403066629533,-23.065592513987227,12,behavior_189,694.1323717344936
"(30, 40]",35.72890237,-46.307643205,34.87035302281723,-24.50666190060104,9,behavior_189,475.282785834753
"(40, 50]",45.949939150000006,-37.711282205,45.28997343772488,-22.87958216334062,9,behavior_189,219.979326125759
"(50, 60]",52.560148515,-25.18428898,55.49466054755884,-20.561659213760876,10,behavior_189,21.368705955719992
"(60, 70]",62.07117996,-18.12660637,61.29361517393866,-18.57857315102444,2,behavior_189,0.20427397114959278
"(-80, -70]",-71.25708173,-20.00285938,-71.0498319885632,-19.772798268546946,2,behavior_190,0.05292811500301452
"(-70, -60]",-65.61340604,-35.1199531,-64.68753737032831,-20.69147671310828,9,behavior_190,208.18093084709184
"(-60, -50]",-58.0693621,-31.43578883,-54.72148103306775,-12.366127925490392,14,behavior_190,363.6519670129822
"(-50, -40]",-43.7844094,0.441897953,-45.050822950890456,3.507878096956534,11,behavior_190,9.400234243135731
"(-40, -30]",-35.56805596,3.938167204,-35.239463162466706,12.528509540092449,11,behavior_190,73.79398145126225
"(-30, -20]",-24.892482045,3.1913109405,-24.576406504230775,9.50564982720364,10,behavior_190,39.87087557613777
"(-20, -10]",-14.861629965,-2.1931205695,-12.89133315043664,1.1373220675733666,19,behavior_190,11.0918481588362
"(-10, 0]",-4.2016837085,-11.19345858,-6.458667190094619,-17.428678723820184,18,behavior_190,38.877970241901
"(0, 10]",4.649206505,-23.063146705,4.78171680296466,-23.28499623601501,9,behavior_190,0.04921721441158005
"(10, 20]",14.48227294,-40.47469647,14.99624397025288,-29.235638715354092,16,behavior_190,126.31641921226627
"(20, 30]",24.69371562,-49.41198452,24.93569337197751,-35.67727625085749,8,behavior_190,188.6422112384516
"(30, 40]",35.72890237,-46.307643205,34.77995239379166,-35.68749783414649,9,behavior_190,112.78748769806117
"(40, 50]",45.949939150000006,-37.711282205,45.159984563818014,-30.05594864074122,13,behavior_190,58.60413198006707
"(50, 60]",52.560148515,-25.18428898,54.98904132433109,-20.70530392533055,11,behavior_190,20.061307119952303
"(60, 70]",62.07117996,-18.12660637,61.29361517393866,-18.57857315102444,2,behavior_190,0.20427397114959278
"(-80, -70]",-71.25708173,-20.00285938,-71.35777604351465,-21.28495770392704,2,behavior_191,1.6437761122165282
"(-70, -60]",-65.61340604,-35.1199531,-65.27425705485093,-23.02750485695077,9,behavior_191,146.22730451082433
