behavior,n_steps,total_distance_km,total_cost,mean_edge_distance_km,sum_w_cost,sum_c_cost,sum_d_cost,sum_f_cost,a_wind,b_crosswind,c_distance,d_food,status
behavior_183,160,19032.88876590621,5087.4632637511295,118.95555478691381,6049.082315572627,4925.83569885485,7999.8094987945005,2193.443081760338,0.6,0.0,0.1,0.3,ok
behavior_181,164,19808.014061710513,5104.539728199983,120.78057354701532,6058.290158630773,4150.789297769191,8199.804736264363,3174.794392077873,0.5,0.5,0.0,0.0,ok
behavior_213,188,22672.743375618695,5128.830509559348,120.59969880648242,5186.375681013838,6266.4005623786825,9399.776161083537,4610.923966468923,0.9,0.0,0.0,0.1,ok
behavior_064,134,16224.71419867165,5139.616756379592,121.07995670650486,7242.283785185691,4412.975163017548,6699.840455240395,3201.2308804094023,0.1,0.4,0.3,0.2,ok
behavior_143,158,18776.5933527649,5143.128470384016,118.83919843522088,6129.649187640909,4703.485870771037,7899.811880059569,2136.526107462096,0.4,0.1,0.2,0.3,ok
behavior_201,182,21988.173011455863,5145.458266651822,120.81413742558166,5252.311834526119,6019.417682612098,9099.783304878743,4334.491071111627,0.7,0.1,0.0,0.2,ok
behavior_086,158,18807.2763170618,5152.624096387452,119.03339441178353,6240.953865332381,4360.832979591688,7899.811880059569,2207.7438779492177,0.2,0.2,0.3,0.3,ok
behavior_216,194,23363.092647780242,5155.953943216631,120.42831261742393,5155.953943216631,6131.809915159661,9699.76901728833,5349.148513333319,1.0,0.0,0.0,0.0,ok
behavior_015,134,16302.964406888017,5169.95057779287,121.66391348423893,7384.239680097204,4462.285822254906,6699.840455240395,3091.9106190722873,0.0,0.2,0.5,0.3,ok
behavior_194,162,19499.214595291876,5188.111139686565,120.36552219315973,6082.766340269937,4240.250631413794,8099.807117529432,2663.7614610046558,0.6,0.3,0.0,0.1,ok
behavior_125,158,18802.331787143987,5200.657004625778,119.00209991863282,6212.861652109589,4376.974878359031,7899.811880059569,2218.718347366381,0.3,0.3,0.2,0.2,ok
behavior_035,134,16225.430313994806,5204.128589038453,121.08530085070751,7284.480687422566,4404.700043774596,6699.840455240395,3218.4238505499,0.0,0.5,0.4,0.1,ok
behavior_103,158,18846.2810399246,5204.148846135959,119.28025974635824,6257.719957455117,4282.711719121827,7899.811880059569,2312.866190721082,0.2,0.5,0.2,0.1,ok
behavior_157,162,19500.57283803999,5204.429209172231,120.37390640765425,6091.691664536977,4227.183490794292,8099.807117529432,2668.984352867789,0.4,0.4,0.1,0.1,ok
behavior_173,160,19067.99541611729,5209.708539353544,119.17497135073306,6174.321781401669,4367.730256147883,7999.8094987945005,2245.1032377184124,0.5,0.2,0.1,0.2,ok
behavior_210,184,22211.889195037595,5227.4336578862785,120.71678910346519,5217.127179304666,6094.035768967234,9199.780923613675,4443.2833754582225,0.8,0.1,0.0,0.1,ok
behavior_051,135,16433.63493199397,5235.443592461015,121.73062912588125,7292.13747305347,4446.954026437926,6749.839264607861,3056.344446749784,0.1,0.2,0.4,0.3,ok
behavior_073,158,18776.251316293565,5235.866446636384,118.83703364742763,6116.890240356827,4807.946395044302,7899.811880059569,2131.4091163529592,0.2,0.0,0.4,0.4,ok
behavior_002,134,16284.151016805194,5241.402750501013,121.52351505078502,7437.267997079918,4643.262497195832,6699.840455240395,3053.7461933919517,0.0,0.0,0.6,0.4,ok
behavior_215,193,23266.498800325004,5246.268834012446,120.55180725556997,5164.158760150752,5985.259498767702,9649.770207920865,5365.218549335912,0.9,0.1,0.0,0.0,ok
behavior_070,135,16342.050368832683,5259.208256277543,121.05222495431617,7252.1221720271,4364.465761324988,6749.839264607861,3268.1137902998044,0.1,0.5,0.3,0.1,ok
behavior_163,158,18780.421606056374,5272.747898878132,118.86342788643275,6062.57711019274,4938.2545329486165,7899.811880059569,2204.989892566143,0.5,0.0,0.2,0.3,ok
behavior_196,164,19808.014061710513,5295.289814286139,120.78057354701532,6058.290158630773,4150.789297769191,8199.804736264363,3174.794392077873,0.6,0.4,0.0,0.0,ok
behavior_204,186,22507.57731312915,5297.29663256076,121.00848017811371,5285.711325455416,5731.569732106328,9299.778542348606,4509.847583207031,0.7,0.2,0.0,0.1,ok
behavior_038,134,16253.049691850136,5298.025693857827,121.29141561082191,7211.926153341215,4935.170556117409,6699.840455240395,3067.282127258765,0.1,0.0,0.5,0.4,ok
behavior_022,133,16141.703900351724,5302.564710250833,121.36619473948664,7295.001633678866,4456.59896279331,6649.84164587293,3203.320992381849,0.0,0.3,0.5,0.2,ok
behavior_160,161,19420.27801301125,5313.992361497578,120.62284480131213,6068.4316156857,4163.277768814202,8049.808308161966,3160.3261202793387,0.4,0.5,0.1,0.0,ok
behavior_113,158,18776.473952001856,5318.878467543047,118.83844273418896,6161.024448663595,4596.69736687463,7899.811880059569,2136.526107462096,0.3,0.1,0.3,0.3,ok
behavior_212,195,23564.38290881194,5319.432199989697,120.84298927595866,5198.864573980741,5801.702704025522,9749.767826655796,5362.726836262416,0.8,0.2,0.0,0.0,ok
