source_h3,target_h3,source_lon,source_lat,target_lon,target_lat,edge_distance_km,edge_bearing_deg,source_u10,source_v10,source_speed,source_chlor_a,target_chlor_a,windsupport_raw,parallel_wind_cost_raw,crosswind_cost_raw,distance_cost_raw,food_cost_raw,w_cost,c_cost,d_cost,f_cost,legacy_constant_distance_reference
830005fffffffff,830000fffffffff,32.41364991071507,79.1345859133172,38.02340700796989,79.24239850975904,117.57354581791456,81.39952516496407,-0.2841116,-2.0728683,2.8945792,1.024748,1.8725796,-0.5909008640832722,8.158313258367535,2.007072136029269,0.0,0.0,53.908642195063415,24.60839925254896,0.0,0.0,49.99880936746571
830005fffffffff,830001fffffffff,32.41364991071507,79.1345859133172,34.26932302338498,80.11677141025228,115.34841083348428,17.87875145040448,-0.2841116,-2.0728683,2.8945792,1.024748,0.0,-2.0599893252087633,9.627401719493026,0.3659868446070088,0.0,0.0,63.61611011099357,4.487307771153537,0.0,0.0,49.99880936746571
830005fffffffff,830004fffffffff,32.41364991071507,79.1345859133172,35.9758018082166,78.28997925905192,121.74126871608205,138.70357813234915,-0.2841116,-2.0728683,2.8945792,1.024748,1.7774838,1.3698562421445564,6.197556152139707,1.5814538457561904,0.0,0.0,40.95231777804603,19.389959601970073,0.0,0.0,49.99880936746571
830005fffffffff,830023fffffffff,32.41364991071507,79.1345859133172,30.88226077950457,78.15617299998873,113.8337379591046,197.8787514504026,-0.2841116,-2.0728683,2.8945792,1.024748,1.7964491,2.0599893252087753,5.507423069075488,0.36598684460694103,0.0,0.0,36.392044561799196,4.487307771152706,0.0,0.0,49.99880936746571
830005fffffffff,83002afffffffff,32.41364991071507,79.1345859133172,28.26751429885717,79.93319689402763,122.00975429626516,318.7035781323494,-0.2841116,-2.0728683,2.8945792,1.024748,0.5507484,-1.369856242144562,8.937268636428826,1.581453845756186,0.13532229865897705,0.0,59.05583689474685,19.38995960197002,1.4536840204566808,0.0,49.99880936746571
830005fffffffff,83002efffffffff,32.41364991071507,79.1345859133172,27.02051280487098,78.93037919687289,116.28557133991072,261.39952516496294,-0.2841116,-2.0728683,2.8945792,1.024748,0.8543031,0.5909008640833115,6.976511530200952,2.0070721360292576,0.0,0.0,46.099512477729164,24.608399252548818,0.0,0.0,49.99880936746571
830006fffffffff,830000fffffffff,41.20060633382336,78.33211415004435,38.02340700796989,79.24239850975904,122.29423767240137,327.3863067887936,-0.57959163,-1.587414,2.6511471,1.8250461,1.8725796,-1.0247325700269483,8.592144964311212,1.343775585761262,0.41980567479518527,0.0,56.77532277816122,16.47582342788239,4.509713529805687,0.0,49.99880936746571
830006fffffffff,830002fffffffff,41.20060633382336,78.33211415004435,43.75098847490955,79.24756210656105,115.74090418181648,27.193715318993725,-0.57959163,-1.587414,2.6511471,1.8250461,1.9681301,-1.6768251714341815,9.244237565718445,0.20992143627268067,0.0,0.0,61.084231447640875,2.573814076103195,0.0,0.0,49.99880936746571
830006fffffffff,830004fffffffff,41.20060633382336,78.33211415004435,35.9758018082166,78.28997925905192,117.75811281535144,270.2804325307329,-0.57959163,-1.587414,2.6511471,1.8250461,1.7774838,0.5718151669571658,6.995597227327098,1.5902317692084402,0.0,0.0,46.225627274358416,19.497584355980475,0.0,0.0,49.99880936746571
830006fffffffff,830015fffffffff,41.20060633382336,78.33211415004435,46.4729694675059,78.27865044836899,118.94047654071392,90.28043253073264,-0.57959163,-1.587414,2.6511471,1.8250461,0.6857187,-0.571815166957173,8.139227561241436,1.5902317692084376,0.0,0.0,53.78252739843447,19.49758435598044,0.0,0.0,49.99880936746571
