latitude_band,bearing_sector,count,mean,median,min,max
20,W,1974,121.10290975480629,122.96293995595616,86.33526984855251,131.37849992517604
30,E,2021,119.66908793129026,120.48852959058726,89.59007255996349,131.37849992517755
30,N,2107,120.84727280613909,123.02377497110923,87.95685245643324,131.3784999251762
30,NE,1825,122.12576247430704,123.93679775113269,87.95685245643591,131.37849992517715
30,NW,2065,121.5963329883284,123.79270747085684,90.56390260715064,131.37849992517764
30,S,2118,120.91186769350745,122.96256364982942,87.95685245643413,131.3784999251762
30,SE,2046,121.79668639576715,124.09010126749729,90.56390260715064,131.37849992517764
30,SW,1790,122.29056459437427,124.17618447775138,87.95685245643591,131.37849992517715
30,W,2011,119.77155554798559,120.60807312302842,88.91355822038166,131.37849992517755
40,E,1829,119.10681635404235,121.10214025891854,88.91355822038166,130.63072644943438
40,N,1849,118.84747407045553,120.833853860926,87.95685245643423,131.37849992517638
40,NE,1843,119.03794117826226,121.05974773064666,87.9568524564361,131.37849992517613
40,NW,1767,120.757077763596,122.27942657281392,94.5629505616252,131.37849992517644
40,S,1850,119.02555241504466,121.05974773064753,87.95685245643324,131.37849992517638
40,SE,1745,121.03318701617106,122.59065359586783,95.66622924089884,131.37849992517644
40,SW,1836,119.24272501661032,121.14063658425107,87.9568524564361,131.37849992517613
40,W,1814,119.27658034957517,121.42666280380209,89.59007255996318,130.7127632484849
50,E,1554,118.57061897979094,119.44211246749887,93.51793045572596,131.37151634632505
50,N,1464,118.8186968827464,119.77573757173116,94.56295056162756,131.1833531080183
50,NE,1523,117.4604108114468,118.93508906547616,87.95685245643728,131.3784999251748
50,NW,1559,118.396280644186,119.5248201969027,87.95685245643405,131.37849992517624
50,S,1461,118.76935372468917,119.77573757173028,96.77714994421258,130.9820813578532
50,SE,1551,118.49581824237575,119.61105307758524,87.95685245643405,131.31568777821653
50,SW,1528,117.20141294151655,118.60181821572448,87.95685245643728,131.3156877782155
50,W,1548,118.67188926926681,119.77573757172958,93.51793045572596,131.37151634632505
60,E,1161,117.23853626625848,119.34900059304616,86.335269848555,131.3784999251759
60,N,1133,119.75139617225075,121.38512041715312,86.33526984855408,131.2947792992246
60,NE,1109,120.54425755309684,122.33939137502684,88.91355822037997,131.37849992517602
60,NW,1110,118.67860673699941,121.52008905406856,86.33526984855621,131.37849992517647
60,S,1128,119.71148662864387,121.34587398719054,86.33526984855408,131.2947792992244
60,SE,1119,118.3382771553127,121.16462075082116,86.33526984855621,131.37849992517647
60,SW,1114,120.2669317459885,122.17518955212964,88.91355822037997,131.37849992517602
60,W,1164,117.23953910324973,118.99243878392484,86.335269848555,131.3784999251759
70,E,668,120.75031594541986,122.51031258884993,95.45039595259604,131.3784999251752
70,N,685,121.32869240592066,123.02394408847692,97.84862483817334,131.3784999251779
70,NE,654,120.89002529575242,122.56513232883194,100.89322755831432,131.3784999251759
70,NW,684,122.24040687547493,122.05109329759367,108.59763916275458,131.37849992517798
